date,Open,High,Low,Close,Volume,Average,BarCount
2025-04-15 11:00:00-04:00,540.72,542.02,539.46,541.0,647416.0,540.805,3999
2025-04-15 12:00:00-04:00,540.96,541.62,538.49,539.04,445771.0,540.28,2685
2025-04-15 13:00:00-04:00,539.01,539.9,537.37,538.31,716061.0,538.502,4303
2025-04-15 14:00:00-04:00,538.29,539.21,536.81,538.66,609780.0,537.984,3624
2025-04-15 15:00:00-04:00,538.63,539.28,537.14,537.72,1658620.0,538.057,9321
2025-04-16 09:30:00-04:00,531.74,533.85,529.92,529.92,1525004.0,532.124,8221
2025-04-16 10:00:00-04:00,529.85,532.94,529.67,532.29,996294.0,531.397,6459
2025-04-16 11:00:00-04:00,532.28,535.1,531.38,531.67,881926.0,533.166,5319
2025-04-16 12:00:00-04:00,531.73,532.12,530.54,530.93,677112.0,531.319,4518
2025-04-16 13:00:00-04:00,530.93,531.7,523.95,524.1,1649123.0,527.949,10403
2025-04-16 14:00:00-04:00,524.08,526.8,522.71,522.84,1489434.0,524.891,9216
2025-04-16 15:00:00-04:00,522.83,526.16,520.3,525.76,3652331.0,523.431,19727
2025-04-17 09:30:00-04:00,527.58,529.3,526.38,528.73,1394525.0,527.594,8018
2025-04-17 10:00:00-04:00,528.69,529.15,523.91,525.08,1274899.0,526.225,8373
2025-04-17 11:00:00-04:00,525.07,528.84,525.03,526.79,914878.0,527.401,6529
2025-04-17 12:00:00-04:00,526.76,530.41,526.22,529.97,1787283.0,528.317,12300
2025-04-17 13:00:00-04:00,529.92,530.32,527.61,529.54,542567.0,528.988,4313
2025-04-17 14:00:00-04:00,529.61,531.16,528.52,528.52,940195.0,529.978,6634
2025-04-17 15:00:00-04:00,528.54,528.8,525.72,526.37,2091296.0,527.083,13936
2025-04-21 09:30:00-04:00,521.14,521.7,517.52,517.56,999395.0,519.846,6109
2025-04-21 10:00:00-04:00,517.51,517.51,514.39,514.6,1449857.0,515.797,9337
2025-04-21 11:00:00-04:00,514.58,515.06,510.8,511.06,1465797.0,512.777,8516
2025-04-21 12:00:00-04:00,511.05,513.24,511.02,511.23,1135212.0,512.04,7389
2025-04-21 13:00:00-04:00,511.26,511.73,508.75,508.94,1142115.0,510.011,7139
2025-04-21 14:00:00-04:00,508.95,510.65,508.46,508.77,1127973.0,509.336,7815
2025-04-21 15:00:00-04:00,508.77,514.87,508.73,514.0,3391712.0,512.457,20067
2025-04-22 09:30:00-04:00,520.1,522.29,519.2,521.88,1080342.0,520.57,6379
2025-04-22 10:00:00-04:00,521.96,524.89,521.77,524.67,1384980.0,523.188,9539
2025-04-22 11:00:00-04:00,524.67,526.55,523.77,526.19,1314562.0,525.006,8310
2025-04-22 12:00:00-04:00,526.25,529.3,526.25,527.53,1417198.0,527.861,8768
2025-04-22 13:00:00-04:00,527.59,528.63,521.77,521.84,1670372.0,524.645,11431
2025-04-22 14:00:00-04:00,521.85,527.23,521.78,526.76,957409.0,525.156,6281
2025-04-22 15:00:00-04:00,526.74,527.5,524.21,526.92,2558939.0,526.371,16104
2025-04-23 09:30:00-04:00,540.39,544.98,539.54,543.56,3238122.0,542.253,19674
2025-04-23 10:00:00-04:00,543.72,545.43,540.75,542.49,2089082.0,543.148,14401
2025-04-23 11:00:00-04:00,542.54,543.58,535.58,537.44,2217719.0,539.352,15760
2025-04-23 12:00:00-04:00,537.45,538.64,534.01,538.25,1542856.0,536.294,10129
2025-04-23 13:00:00-04:00,538.2,539.59,536.21,538.36,1000854.0,538.091,7142
2025-04-23 14:00:00-04:00,538.34,538.89,535.81,536.36,942332.0,537.324,6795
2025-04-23 15:00:00-04:00,536.32,537.17,533.88,535.4,2841107.0,535.736,17913
2025-04-24 09:30:00-04:00,536.74,539.64,535.49,539.47,965913.0,537.248,5622
2025-04-24 10:00:00-04:00,539.45,543.3,539.01,542.47,1606753.0,541.318,9899
2025-04-24 11:00:00-04:00,542.45,543.89,541.89,542.73,880099.0,542.961,5633
2025-04-24 12:00:00-04:00,542.81,545.84,542.33,545.41,845624.0,544.393,5183
2025-04-24 13:00:00-04:00,545.33,545.59,544.03,545.27,579437.0,544.926,3378
2025-04-24 14:00:00-04:00,545.29,546.9,545.04,546.1,785368.0,545.942,4554
2025-04-24 15:00:00-04:00,546.1,547.43,544.28,546.51,2251869.0,546.199,12833
2025-04-25 09:30:00-04:00,546.69,548.1,544.72,544.92,999938.0,546.418,5907
2025-04-25 10:00:00-04:00,544.91,547.92,543.7,546.43,1501212.0,545.967,10746
2025-04-25 11:00:00-04:00,546.47,547.46,545.7,547.06,547986.0,546.707,3714
2025-04-25 12:00:00-04:00,547.03,549.19,546.97,549.09,555759.0,548.18,3269
2025-04-25 13:00:00-04:00,549.08,551.05,546.76,547.88,1472688.0,549.201,9374
2025-04-25 14:00:00-04:00,547.9,550.74,547.54,549.82,1010835.0,549.548,6385
2025-04-25 15:00:00-04:00,549.8,550.91,548.76,550.54,2048209.0,550.096,11927
2025-04-28 09:30:00-04:00,551.39,553.55,550.13,550.29,1298492.0,551.928,6879
2025-04-28 10:00:00-04:00,550.35,552.07,549.69,550.57,852814.0,550.811,5138
2025-04-28 11:00:00-04:00,550.54,551.11,547.06,547.47,1023719.0,548.48,5632
2025-04-28 12:00:00-04:00,547.51,547.58,545.73,546.47,680519.0,546.547,4017
2025-04-28 13:00:00-04:00,546.42,547.87,545.02,547.74,597153.0,546.253,3336
2025-04-28 14:00:00-04:00,547.71,549.02,547.4,548.73,558028.0,548.317,2793
2025-04-28 15:00:00-04:00,548.78,552.26,548.65,550.93,1643290.0,550.962,9287
2025-04-29 09:30:00-04:00,548.91,551.69,548.55,550.62,1025957.0,549.964,6644
2025-04-29 10:00:00-04:00,550.68,553.05,549.41,552.94,1252280.0,551.314,8384
2025-04-29 11:00:00-04:00,552.97,553.25,550.9,551.7,615486.0,552.087,4370
2025-04-29 12:00:00-04:00,551.73,553.43,550.52,551.05,599291.0,552.246,3632
2025-04-29 13:00:00-04:00,551.08,555.1,550.77,554.72,1025099.0,553.573,6040
2025-04-29 14:00:00-04:00,554.74,555.42,554.13,554.28,927731.0,554.766,5929
2025-04-29 15:00:00-04:00,554.33,555.32,553.82,554.13,2050625.0,554.548,13678
2025-04-30 09:30:00-04:00,547.59,547.59,541.53,541.92,1690149.0,544.818,9553
2025-04-30 10:00:00-04:00,541.9,547.45,541.63,546.97,1677845.0,545.277,11476
2025-04-30 11:00:00-04:00,546.98,549.83,546.9,549.46,1255478.0,548.653,8882
2025-04-30 12:00:00-04:00,549.43,550.24,547.42,549.55,715001.0,548.872,4312
2025-04-30 13:00:00-04:00,549.54,551.12,547.15,550.47,721582.0,549.596,4485
2025-04-30 14:00:00-04:00,550.48,553.09,549.11,549.63,1730848.0,550.844,11334
2025-04-30 15:00:00-04:00,549.65,556.5,549.39,554.38,4217935.0,553.301,24169
2025-05-01 09:30:00-04:00,560.37,561.35,558.65,558.85,1659292.0,560.07,10422
2025-05-01 10:00:00-04:00,558.92,563.39,558.83,563.35,1579456.0,561.288,11773
2025-05-01 11:00:00-04:00,563.37,564.03,559.69,560.38,1232333.0,562.529,7809
2025-05-01 12:00:00-04:00,560.4,561.26,559.06,559.62,770607.0,560.175,4892
2025-05-01 13:00:00-04:00,559.68,561.94,559.64,560.57,551454.0,561.062,3231
2025-05-01 14:00:00-04:00,560.61,562.69,560.48,561.69,895421.0,561.887,5299
2025-05-01 15:00:00-04:00,561.74,562.48,557.87,558.45,2873329.0,560.396,17510
2025-05-02 09:30:00-04:00,564.69,565.47,562.38,563.69,1352897.0,564.372,6318
2025-05-02 10:00:00-04:00,563.66,566.32,563.28,565.78,1068206.0,565.144,6956
2025-05-02 11:00:00-04:00,565.8,566.39,564.46,566.2,704252.0,565.591,4791
2025-05-02 12:00:00-04:00,566.25,568.07,566.16,567.5,1173717.0,567.418,7518
2025-05-02 13:00:00-04:00,567.5,567.77,566.36,567.25,565347.0,567.051,3821
2025-05-02 14:00:00-04:00,567.25,568.38,566.46,567.09,812951.0,567.629,5346
2025-05-02 15:00:00-04:00,567.07,567.93,566.02,566.64,2943360.0,567.065,17859
2025-05-05 09:30:00-04:00,562.55,563.29,561.7,563.01,1185075.0,562.549,6777
2025-05-05 10:00:00-04:00,563.07,565.17,562.43,564.97,1066871.0,563.82,6991
2025-05-05 11:00:00-04:00,565.01,565.31,563.85,565.0,667637.0,564.748,4862
2025-05-05 12:00:00-04:00,565.0,565.92,564.82,565.63,527966.0,565.491,3407
2025-05-05 13:00:00-04:00,565.58,566.07,564.84,565.7,331569.0,565.456,2360
2025-05-05 14:00:00-04:00,565.69,566.65,565.58,565.81,460132.0,566.226,2900
2025-05-05 15:00:00-04:00,565.78,565.86,563.09,563.53,1597451.0,564.217,9756
2025-05-06 09:30:00-04:00,557.93,559.66,556.97,557.46,1139467.0,558.38,6593
2025-05-06 10:00:00-04:00,557.48,561.41,557.1,560.8,1001872.0,559.789,6335
2025-05-06 11:00:00-04:00,560.75,561.94,560.19,560.35,621752.0,561.132,3738
2025-05-06 12:00:00-04:00,560.36,563.34,559.13,559.21,1075894.0,561.089,7268
2025-05-06 13:00:00-04:00,559.24,560.56,558.32,558.44,599620.0,559.423,3844
2025-05-06 14:00:00-04:00,558.45,561.08,558.44,561.04,787984.0,559.904,5079
2025-05-06 15:00:00-04:00,561.06,561.39,558.72,558.8,2234721.0,559.978,13230
2025-05-07 09:30:00-04:00,560.13,561.59,559.53,561.39,921096.0,560.38,5859
2025-05-07 10:00:00-04:00,561.48,561.98,559.04,559.51,909422.0,560.755,5211
2025-05-07 11:00:00-04:00,559.44,560.14,558.38,559.94,1143988.0,559.239,7403
2025-05-07 12:00:00-04:00,559.91,561.37,559.09,561.25,419230.0,560.041,2809
2025-05-07 13:00:00-04:00,561.24,561.85,558.81,559.2,608245.0,560.304,3797
2025-05-07 14:00:00-04:00,559.18,561.22,556.05,560.86,1822526.0,558.533,13198
2025-05-07 15:00:00-04:00,560.84,563.78,557.52,561.23,2926401.0,560.651,19801
2025-05-08 09:30:00-04:00,565.22,565.64,563.56,564.14,897082.0,564.775,4588
2025-05-08 10:00:00-04:00,564.16,565.16,561.7,562.6,1370598.0,563.596,9005
2025-05-08 11:00:00-04:00,562.55,569.65,562.03,568.38,2490905.0,566.654,16005
2025-05-08 12:00:00-04:00,568.43,570.31,568.34,570.11,778545.0,569.389,5008
2025-05-08 13:00:00-04:00,570.12,570.17,567.62,567.69,583129.0,569.012,3927
2025-05-08 14:00:00-04:00,567.68,569.12,567.43,568.35,636830.0,568.327,4314
2025-05-08 15:00:00-04:00,568.34,569.37,564.54,564.91,3221951.0,566.845,19931
2025-05-09 09:30:00-04:00,566.41,567.5,565.82,566.98,717895.0,566.718,3950
2025-05-09 10:00:00-04:00,566.95,567.34,562.81,564.52,1017565.0,564.692,6650
2025-05-09 11:00:00-04:00,564.58,565.58,563.91,565.58,605158.0,564.71,3879
2025-05-09 12:00:00-04:00,565.53,565.62,563.1,563.44,406303.0,564.045,2523
2025-05-09 13:00:00-04:00,563.3,565.35,562.87,565.24,541161.0,564.047,3561
2025-05-09 14:00:00-04:00,565.22,565.29,564.1,564.83,290047.0,564.698,1899
